"spam","PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04"
"ham","Total disappointment, when I texted you was the craziest shit got :("
"ham","Its just the effect of irritation. Just ignore it"
"ham","What about this one then."
"ham","I think that tantrum's finished so yeah I'll be by at some point"
"ham","Compliments to you. Was away from the system. How your side."
"ham","happened here while you were adventuring"
"ham","Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
"ham","Ok which your another number"
"ham","I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
"ham","Aiyah ok wat as long as got improve can already wat..."
"spam","Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX"
"ham","I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight"
"ham","Just sleeping..and surfing"
"spam","ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800"
"ham","Yeah it's jus rite..."
"ham","Armand says get your ass over to epsilon"
"ham","U still havent got urself a jacket ah?"
"ham","I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
"ham","Hi its in durban are you still on this number"
"ham","Ic. There are a lotta childporn cars then."
"spam","Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
"ham","No, I was trying it all weekend ;V"
"ham","You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
"ham","Cool, what time you think you can get here?"
"ham","Wen did you get so spiritual and deep. That's great"
"ham","Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with"
